component,value,proportion
Comp.1,32.80425014838856,0.9112291707885722
Comp.2,2.4275244015019544,0.06743123337505437
Comp.3,0.5315660801390641,0.014765724448307356
Comp.4,0.13484557014145312,0.0037457102817070355
Comp.5,0.03149282737190346,8.748007603306527e-4
Comp.6,0.023480605675449656,6.52239046540269e-4
Comp.7,0.011356743593872738,3.1546509982979863e-4
Comp.8,0.008020079373387768,2.2277998259410492e-4
Comp.9,0.003166482902567177,8.79578584046439e-5
Comp.10,0.002423898214126578,6.733050594796058e-5
