"ImageDate","AvgCI","MaxCI","AvgCA","MaxCA","HotCount","HotPercent","WarmCount","WarmPercent","LukeWarmCount","LukeWarmPercent","CoolCount","CoolPercent","ColdCount","ColdPercent","TotalPix","ExpectedPix","NApercent"
2017-10-15,0.000375743,0.00301995172040201,37574,301995,0,0,0,0,11,3,193,57,289,86,335,449,25.39
2017-10-22,0.00045478,0.00229086765276777,45477,229086,0,0,0,0,14,7,128,64,177,88,199,449,55.68
2017-10-29,0.000470033,0.00469894108605215,47003,469894,0,0,1,0,33,10,185,57,266,82,324,449,27.84
2017-11-19,0.000368705,0.00210862814993329,36870,210862,0,0,0,0,21,10,90,43,152,73,208,449,53.67
2017-11-26,0.000231383,0.00128233058265602,23138,128233,0,0,0,0,5,3,32,22,90,64,140,449,68.82
2017-12-03,0.000257389,0.00235504928389601,25738,235504,0,0,0,0,4,2,52,32,101,63,159,449,64.59
2018-05-20,0.00368641,0.0110662378397767,368641,1106623,0,0,159,39,361,90,398,99,399,99,401,449,10.69
2018-05-27,0.008546948,0.0208929613085404,854694,2089296,5,1,409,95,427,100,427,100,427,100,427,449,4.9
2018-06-03,0.031753028,0.0685488226452661,3175302,6854882,331,74,437,98,442,100,442,100,442,100,442,449,1.56
2018-06-17,0.003976642,0.00672976656284317,397664,672976,0,0,67,63,97,91,101,95,104,98,106,449,76.39
2018-06-24,0.006363296,0.0192309172891016,636329,1923091,4,1,280,77,348,96,357,99,358,99,359,449,20.04
2018-07-01,0.001924025,0.00570164272280747,192402,570164,0,0,13,3,311,82,361,95,372,98,378,449,15.81
2018-07-08,0.001626091,0.00496592321450336,162609,496592,0,0,2,0,198,69,263,92,278,97,285,449,36.53
2018-07-15,0.003682285,0.00602559586074357,368228,602559,0,0,97,25,381,98,384,99,385,100,385,449,14.25
2018-07-22,0.004195089,0.00711213513653329,419508,711213,0,0,221,52,420,99,421,100,421,100,421,449,6.24
2018-07-29,0.003354789,0.00731139083483417,335478,731139,0,0,26,17,144,97,145,98,147,100,147,449,67.26
2018-08-19,0.001095293,0.00263026799189538,109529,263026,0,0,0,0,192,54,342,97,347,99,350,449,22.05
2018-09-02,0.001741237,0.00570164272280747,174123,570164,0,0,3,2,136,91,145,97,149,100,149,449,66.82
2018-09-09,0.00679825,0.0373250157795721,679824,3732501,21,4,275,61,440,98,443,99,445,100,445,449,0.89
2018-09-16,0.004291515,0.0275422870333817,429151,2754228,24,5,110,25,403,93,431,99,432,100,432,449,3.79
2018-09-23,0.003446325,0.00887156012037961,344632,887156,0,0,117,26,442,99,446,100,446,100,446,449,0.67
2018-09-30,0.002213921,0.00711213513653329,221392,711213,0,0,21,4,426,97,438,100,438,100,438,449,2.45
2018-10-07,0.003185049,0.0127057410520854,318504,1270574,0,0,54,20,242,93,251,97,257,99,258,449,42.54
2018-10-14,0.001625828,0.00731139083483417,162582,731139,0,0,27,6,260,63,385,94,404,99,408,449,9.13
2018-10-21,0.002225372,0.00602559586074357,222537,602559,0,0,10,2,386,90,419,98,424,99,427,449,4.9
2018-10-28,0.003885925,0.00963829023623971,388592,963829,0,0,121,46,242,92,259,99,261,100,261,449,41.87
2018-11-04,0.0003675,0.00151356124843621,36749,151356,0,0,0,0,7,2,173,62,241,86,279,449,37.86
2018-11-11,0.000488823,0.00178648757485205,48882,178648,0,0,0,0,15,3,334,83,381,94,402,449,10.47
2018-11-18,0.000289567,0.00235504928389601,28956,235504,0,0,0,0,7,3,92,40,175,76,229,449,49
2018-12-02,0.000292843,0.00235504928389601,29284,235504,0,0,0,0,6,3,71,40,125,71,174,449,61.25
2018-12-09,0.00049959,0.00691830970918936,49959,691830,0,0,2,1,17,12,55,40,97,70,137,449,69.49
2018-12-23,0.000314696,0.0022284351492703,31469,222843,0,0,0,0,4,4,31,34,58,64,90,449,79.96
2019-06-23,0.006123576,0.0239883291901949,612357,2398832,11,2,306,71,414,96,423,99,427,100,427,449,4.9
2019-06-30,0.006676805,0.018706821403658,667680,1870682,2,0,223,82,266,98,270,100,270,100,270,449,39.87
2019-07-07,0.009322832,0.0181970085860998,932283,1819700,3,0,422,98,428,100,428,100,428,100,428,449,4.68
2019-07-14,0.003760129,0.00839459986519397,376012,839459,0,0,161,38,404,97,410,99,414,100,414,449,7.8
2019-07-21,0.006268756,0.00887156012037961,626875,887156,0,0,400,93,425,99,426,100,426,100,426,449,5.12
2019-07-28,0.009448884,0.0192309172891016,944888,1923091,5,1,424,99,428,100,428,100,428,100,428,449,4.68
2019-08-04,0.007480218,0.0134276496113786,748021,1342764,0,0,431,98,437,99,437,99,438,100,438,449,2.45
2019-08-11,0.008708874,0.0154170045294956,870887,1541700,0,0,447,99,448,100,448,100,448,100,448,449,0.22
2019-08-18,0.010017458,0.0145881426027535,1001745,1458814,0,0,444,99,446,100,446,100,446,100,446,449,0.67
2019-08-25,0.005988043,0.0123594743344451,598804,1235947,0,0,424,97,432,99,433,100,433,100,433,449,3.56
2019-09-01,0.007183861,0.0154170045294956,718386,1541700,0,0,416,94,437,99,438,100,438,100,438,449,2.45
2019-09-08,0.009194904,0.0127057410520854,919490,1270574,0,0,317,99,318,99,319,100,319,100,319,449,28.95
2019-09-15,0.022260342,0.0549540873857624,2226034,5495408,284,63,447,100,447,100,447,100,447,100,447,449,0.45
2019-09-22,0.006792982,0.0192309172891016,679298,1923091,2,0,430,96,445,100,445,100,445,100,445,449,0.89
2019-09-29,0.003517842,0.010471285480509,351784,1047128,0,0,94,26,345,98,350,99,351,100,351,449,21.83
2019-10-06,0.005285317,0.0107646521362983,528531,1076465,0,0,372,82,449,100,449,100,449,100,449,449,0
2019-10-13,0.002473249,0.0086297854776697,247324,862978,0,0,40,9,403,91,437,99,439,100,439,449,2.23
2019-10-20,0.001173828,0.00457088189614875,117382,457088,0,0,3,0,299,70,408,96,421,99,425,449,5.35
2019-10-27,0.000592371,0.00337287308658869,59237,337287,0,0,0,0,33,8,325,85,364,96,379,449,15.59
2019-11-03,0.000733356,0.00432513831035009,73335,432513,0,0,3,0,67,18,297,80,338,92,367,449,18.26
2019-11-10,0.00047145,0.00356451133426244,47144,356451,0,0,0,0,17,9,99,56,143,81,176,449,60.8
2019-12-01,0.000365611,0.00248885731828239,36561,248885,0,0,0,0,12,5,115,51,175,78,223,449,50.33
2019-12-08,0.000499675,0.00293764965196153,49967,293764,0,0,0,0,23,9,162,65,218,88,247,449,44.99
2019-12-15,0.000429876,0.00255858588690565,42987,255858,0,0,0,0,10,9,54,52,82,79,103,449,77.06
2020-01-05,0.000436319,0.00319153785510076,43631,319153,0,0,0,0,14,11,49,40,84,68,122,449,72.83
2020-06-14,0.004640033,0.0177010895831742,464003,1770108,2,0,166,49,296,87,331,98,336,99,337,449,24.94
2020-06-21,0.007056825,0.0162929603263972,705682,1629296,1,0,349,83,408,97,414,99,417,100,417,449,7.13
2020-07-05,0.001240793,0.00285759054337495,124079,285759,0,0,0,0,52,50,90,87,99,96,103,449,77.06
2020-07-12,0.003092847,0.00654636174067275,309284,654636,0,0,61,15,368,95,385,99,386,99,387,449,13.81
2020-07-19,0.005409341,0.00794328234724281,540934,794328,0,0,401,95,421,100,421,100,421,100,421,449,6.24
2020-07-26,0.007084838,0.0120226443461741,708483,1202264,0,0,422,97,431,99,432,99,433,100,433,449,3.56
2020-08-02,0.006745233,0.0116949939101987,674523,1169499,0,0,426,98,431,100,431,100,431,100,431,449,4.01
2020-08-09,0.006507281,0.0110662378397767,650728,1106623,0,0,423,98,429,100,429,100,429,100,429,449,4.45
2020-08-16,0.004894938,0.0116949939101987,489493,1169499,0,0,376,86,435,99,435,99,435,99,436,449,2.9
2020-08-23,0.003343383,0.0101859138805412,334338,1018591,0,0,21,4,429,99,429,99,429,99,430,449,4.23
2020-08-30,0.00316362,0.00731139083483417,316362,731139,0,0,63,14,435,99,436,100,436,100,436,449,2.9
2020-09-13,0.002884203,0.00691830970918936,288420,691830,0,0,90,21,390,94,410,99,414,100,414,449,7.8
2020-09-20,0.004779266,0.00711213513653329,477926,711213,0,0,374,88,412,96,421,99,425,100,425,449,5.35
2020-09-27,0.003587376,0.0130617088813184,358737,1306170,0,0,99,32,297,96,307,99,307,99,309,449,31.18
2020-10-04,0.002490303,0.00751622894018205,249030,751622,0,0,41,9,412,96,424,99,426,99,427,449,4.9
2020-10-11,0.000701049,0.00524807460249772,70104,524807,0,0,2,1,31,19,109,69,138,88,156,449,65.26
2020-10-25,0.000406158,0.00310455958812836,40615,310455,0,0,0,0,14,7,95,48,142,72,196,449,56.35
2020-11-01,0.001285664,0.00539510622515127,128566,539510,0,0,4,1,210,55,350,91,367,96,381,449,15.14
2020-11-08,0.000443539,0.00387257644921617,44353,387257,0,0,0,0,25,6,235,65,312,87,358,449,20.27
2020-11-15,0.000545494,0.00356451133426244,54549,356451,0,0,0,0,40,10,287,76,347,92,377,449,16.04
2020-11-22,0.00034627,0.00328095293113119,34626,328095,0,0,0,0,7,2,147,55,216,81,264,449,41.2
2020-11-29,0.000607591,0.00242102904673618,60759,242102,0,0,0,0,46,11,346,84,393,96,408,449,9.13
2020-12-06,0.000526444,0.00293764965196153,52644,293764,0,0,0,0,45,12,253,71,319,90,353,449,21.38
2020-12-20,0.000344757,0.00210862814993329,34475,210862,0,0,0,0,12,5,87,40,158,74,213,449,52.56
2021-03-07,0.000511035,0.00387257644921617,51103,387257,0,0,0,0,16,15,53,50,78,73,106,449,76.39
2021-03-14,0.000475858,0.00483058802039773,47585,483058,0,0,2,0,22,10,102,47,166,76,216,449,51.89
2021-05-30,0.001471303,0.00887156012037961,147130,887156,0,0,11,10,38,36,83,80,94,91,103,449,77.06
2021-06-06,0.001378351,0.0101859138805412,137835,1018591,0,0,12,5,106,50,175,82,201,95,211,449,53.01
2021-06-13,0.003367166,0.00751622894018205,336716,751622,0,0,111,26,394,94,409,97,415,99,418,449,6.9
2021-06-20,0.002936697,0.00816582371358592,293669,816582,0,0,61,18,315,96,327,100,327,100,327,449,27.17
2021-06-27,0.006726098,0.0260615354999889,672609,2606153,26,6,290,68,412,97,421,99,422,99,423,449,5.79
2021-07-04,0.004426067,0.00816582371358592,442606,816582,0,0,255,62,408,99,411,100,411,100,411,449,8.46
2021-07-11,0.005057051,0.00794328234724281,505705,794328,0,0,98,98,99,99,99,99,99,99,100,449,77.73
2021-07-18,0.004716299,0.0127057410520854,471629,1270574,0,0,229,80,283,100,283,100,283,100,283,449,36.97
2021-07-25,0.00324174,0.00672976656284317,324174,672976,0,0,40,10,391,98,394,99,394,99,395,449,12.03
2021-08-01,0.002951997,0.0107646521362983,295199,1076465,0,0,29,6,406,96,416,99,418,99,419,449,6.68
2021-08-08,0.004517255,0.0116949939101987,451725,1169499,0,0,275,62,443,100,443,100,443,100,443,449,1.34
2021-08-15,0.005574758,0.0130617088813184,557475,1306170,0,0,413,93,443,99,443,99,444,100,444,449,1.11
2021-08-22,0.003737673,0.0113762728582343,373767,1137627,0,0,125,28,440,99,441,100,441,100,441,449,1.78
2021-08-29,0.002978396,0.0134276496113786,297839,1342764,0,0,45,10,444,100,444,100,444,100,444,449,1.11
2021-09-05,0.0034766,0.0116949939101987,347659,1169499,0,0,62,13,447,99,448,100,448,100,448,449,0.22
2021-09-12,0.002706032,0.0086297854776697,270603,862978,0,0,43,9,439,99,442,99,443,100,443,449,1.34
2021-09-19,0.002144844,0.00816582371358592,214484,816582,0,0,15,3,421,97,430,99,433,100,433,449,3.56
2021-09-26,0.002256294,0.00772680585095702,225629,772680,0,0,14,3,431,98,436,99,436,99,437,449,2.67
2021-10-03,0.001548457,0.00496592321450336,154845,496592,0,0,1,0,375,87,425,99,427,100,427,449,4.9
2021-10-10,0.001204492,0.00586138164514028,120449,586138,0,0,8,1,168,40,400,96,410,99,414,449,7.8
2021-10-17,0.001639419,0.00654636174067275,163941,654636,0,0,6,1,353,80,435,99,435,99,436,449,2.9
2021-10-24,0.001284283,0.00539510622515127,128428,539510,0,0,4,0,204,50,373,92,390,97,402,449,10.47
2021-10-31,0.001039167,0.00376703798983909,103916,376703,0,0,0,0,166,40,374,90,400,96,414,449,7.8
2021-11-21,0.00022964,0.00169044093164326,22964,169044,0,0,0,0,3,2,29,24,74,61,120,449,73.27
2021-11-28,0.00030952,0.00310455958812836,30951,310455,0,0,0,0,10,3,111,44,178,70,251,449,44.1
2021-12-12,0.000461829,0.00229086765276777,46182,229086,0,0,0,0,14,12,70,61,88,77,114,449,74.61
2021-12-26,0.00169286,0.00990831944892768,169285,990831,0,0,27,12,98,44,168,75,194,87,222,449,50.56
2022-01-09,0.000945827,0.00277971326775929,94582,277971,0,0,0,0,91,44,183,89,196,96,204,449,54.57
2022-01-16,0.001021176,0.0022284351492703,102117,222843,0,0,0,0,94,52,170,95,174,97,178,449,60.36
2022-02-06,0.000894574,0.00248885731828239,89457,248885,0,0,0,0,42,38,94,87,106,98,108,449,75.95
2022-06-05,0.001187601,0.00554625712957911,118760,554625,0,0,6,3,72,43,134,80,154,92,166,449,63.03
2022-06-12,0.001894359,0.00794328234724281,189435,794328,0,0,10,2,327,85,376,98,382,99,383,449,14.7
2022-06-19,0.001378083,0.00337287308658869,137808,337287,0,0,0,0,176,58,274,91,289,96,301,449,32.96
2022-06-26,0.002231297,0.00524807460249772,223129,524807,0,0,6,1,372,92,396,98,399,99,402,449,10.47
2022-07-03,0.002053357,0.00346736850452532,205335,346736,0,0,0,0,377,94,393,98,396,99,398,449,11.36
2022-07-10,0.001407683,0.00346736850452532,140768,346736,0,0,0,0,253,75,328,97,332,98,336,449,25.17
2022-07-17,0.00103242,0.00328095293113119,103242,328095,0,0,0,0,161,43,339,92,357,97,367,449,18.26
2022-07-24,0.001495389,0.00772680585095702,149538,772680,0,0,11,2,306,81,369,98,372,99,375,449,16.48
2022-07-31,0.001281049,0.00990831944892768,128104,990831,0,0,16,3,206,49,410,98,414,99,417,449,7.13
2022-08-07,0.001500903,0.0116949939101987,150090,1169499,0,0,20,4,265,66,392,97,397,99,401,449,10.69
2022-08-14,0.001808641,0.00990831944892768,180864,990831,0,0,16,8,161,87,180,97,182,98,184,449,59.02
2022-08-21,0.001410429,0.00457088189614875,141042,457088,0,0,3,0,345,84,404,99,406,99,407,449,9.35
2022-08-28,0.000951362,0.00483058802039773,95136,483058,0,0,4,0,96,22,417,99,420,100,420,449,6.46
2022-09-04,0.001135016,0.00199526231496888,113501,199526,0,0,0,0,102,68,140,94,145,97,148,449,67.04
2022-09-18,0.00145115,0.00586138164514028,145115,586138,0,0,2,0,317,78,395,98,398,98,403,449,10.24
2022-09-25,0.002405435,0.00619441075076781,240543,619441,0,0,32,7,431,97,441,100,441,100,441,449,1.78
2022-10-02,0.002721438,0.0101859138805412,272143,1018591,0,0,45,10,408,94,427,99,428,99,430,449,4.23
2022-10-09,0.001100352,0.0086297854776697,110035,862978,0,0,11,2,153,39,367,93,383,97,392,449,12.69
2022-10-16,0.000567759,0.00539510622515127,56775,539510,0,0,2,0,34,10,229,70,281,86,323,449,28.06
2022-11-20,0.000494441,0.00356451133426244,49444,356451,0,0,0,0,15,9,94,57,133,81,163,449,63.7
2022-11-27,0.000763105,0.00457088189614875,76310,457088,0,0,1,0,61,27,164,72,198,88,225,449,49.89
2022-12-04,0.000507195,0.00277971326775929,50719,277971,0,0,0,0,12,11,56,52,87,82,106,449,76.39
2022-12-18,0.000862853,0.00229086765276777,86285,229086,0,0,0,0,36,36,78,79,92,93,98,449,78.17
2023-03-05,0.000386939,0.00248885731828239,38693,248885,0,0,0,0,4,3,61,50,89,74,120,449,73.27
2023-05-14,0.002418159,0.0123594743344451,241815,1235947,0,0,11,8,105,76,126,91,134,97,137,449,69.49
2023-05-21,0.00706773,0.018706821403658,706772,1870682,3,0,312,78,382,95,394,98,397,99,399,449,11.14
2023-05-28,0.00452036,0.0145881426027535,452035,1458814,0,0,175,52,313,93,327,98,332,99,333,449,25.84
