"ImageDate","AvgCI","MaxCI","AvgCA","MaxCA","HotCount","HotPercent","WarmCount","WarmPercent","LukeWarmCount","LukeWarmPercent","CoolCount","CoolPercent","ColdCount","ColdPercent","TotalPix","ExpectedPix","NApercent"
2016-10-09,0.000376436,0.00328095293113119,37643,328095,0,0,0,0,8,6,52,45,84,73,115,449,74.39
2016-10-16,0.000777827,0.00444631267469108,77782,444631,0,0,2,1,30,25,77,64,101,84,119,449,73.5
2016-10-30,0.001381198,0.00524807460249772,138119,524807,0,0,13,3,229,56,379,92,400,98,408,449,9.13
2016-11-06,0.002457051,0.0130617088813184,245705,1306170,0,0,76,19,272,69,367,94,382,97,390,449,13.14
2016-11-13,0.000925689,0.00554625712957911,92568,554625,0,0,3,0,127,34,309,85,347,95,363,449,19.15
2016-11-20,0.000584431,0.00248885731828239,58443,248885,0,0,0,0,27,15,121,71,145,85,169,449,62.36
2016-12-11,0.001104364,0.00510504999975406,110436,510504,0,0,1,1,37,41,75,83,79,87,90,449,79.96
2016-12-25,0.001772281,0.00731139083483417,177228,731139,0,0,20,20,37,38,77,80,85,88,96,449,78.62
2017-01-01,0.001267998,0.00636795520907916,126799,636795,0,0,9,2,157,43,319,88,343,95,360,449,19.82
2017-02-05,0.001323396,0.00293764965196153,132339,293764,0,0,0,0,207,67,300,97,305,99,307,449,31.63
2017-05-28,0.001384066,0.00539510622515127,138406,539510,0,0,7,3,112,50,193,86,214,95,223,449,50.33
2017-06-04,0.002702857,0.00887156012037961,270285,887156,0,0,60,17,298,89,325,97,333,99,334,449,25.61
2017-06-11,0.013052351,0.0343557947899875,1305235,3435579,111,26,391,93,413,99,416,100,416,100,416,449,7.35
2017-07-02,0.006152332,0.0149968483550237,615233,1499684,0,0,238,77,289,93,303,98,306,99,309,449,31.18
2017-07-09,0.002363551,0.00409260659730011,236355,409260,0,0,2,1,159,84,178,94,186,98,188,449,58.13
2017-07-16,0.003231472,0.00483058802039773,323147,483058,0,0,17,16,97,91,105,99,106,100,106,449,76.39
2017-08-06,0.002009902,0.00444631267469108,200990,444631,0,0,3,0,296,86,334,97,340,98,344,449,23.39
2017-08-13,0.001836026,0.00524807460249772,183602,524807,0,0,6,1,323,85,370,98,374,99,377,449,16.04
2017-08-20,0.001131609,0.00216770410481969,113160,216770,0,0,0,0,89,56,146,92,153,97,157,449,65.03
2017-09-03,0.001030038,0.00205116217882556,103003,205116,0,0,0,0,204,58,326,93,339,97,348,449,22.49
2017-09-10,0.001265632,0.00356451133426244,126563,356451,0,0,0,0,194,55,321,92,337,97,347,449,22.72
2017-09-24,0.000445052,0.00337287308658869,44505,337287,0,0,0,0,5,5,50,50,79,79,100,449,77.73
