"ImageDate","AvgCI","MaxCI","AvgCA","MaxCA","HotCount","HotPercent","WarmCount","WarmPercent","LukeWarmCount","LukeWarmPercent","CoolCount","CoolPercent","ColdCount","ColdPercent","TotalPix","ExpectedPix","NApercent"
2016-10-16,0.000235603,0.00040179081084894,23560,40179,0,0,0,0,0,0,2,50,2,50,4,4,0
2016-10-23,0.000121359,0.000144543977074593,12135,14454,0,0,0,0,0,0,0,0,1,50,2,4,50
2016-10-30,0.001695355,0.00216770410481969,169535,216770,0,0,0,0,4,100,4,100,4,100,4,4,0
2016-11-06,0.003622929,0.00794328234724281,362292,794328,0,0,1,25,4,100,4,100,4,100,4,4,0
2016-11-13,0.000340556,0.000642687717317019,34055,64268,0,0,0,0,0,0,3,75,3,75,4,4,0
2016-11-20,0.000671876,0.000824138115013002,67187,82413,0,0,0,0,0,0,4,100,4,100,4,4,0
2017-01-01,0.000861075,0.00155596563160507,86107,155596,0,0,0,0,1,25,4,100,4,100,4,4,0
2017-02-05,0.002052729,0.00216770410481969,205272,216770,0,0,0,0,4,100,4,100,4,100,4,4,0
2017-05-28,0.001517038,0.00248885731828239,151703,248885,0,0,0,0,3,75,4,100,4,100,4,4,0
2017-06-04,0.001649404,0.00199526231496888,164940,199526,0,0,0,0,4,100,4,100,4,100,4,4,0
2017-06-11,0.011940732,0.0120226443461741,1194073,1202264,0,0,4,100,4,100,4,100,4,100,4,4,0
2017-07-02,0.006164141,0.00839459986519397,616414,839459,0,0,4,100,4,100,4,100,4,100,4,4,0
2017-07-09,0.002195763,0.00328095293113119,219576,328095,0,0,0,0,2,66,3,100,3,100,3,4,25
2017-07-16,0.003436753,0.00356451133426244,343675,356451,0,0,0,0,3,100,3,100,3,100,3,4,25
2017-08-06,0.002294973,0.00270395836410884,229497,270395,0,0,0,0,4,100,4,100,4,100,4,4,0
2017-08-13,0.001324954,0.00147231250243272,132495,147231,0,0,0,0,3,75,4,100,4,100,4,4,0
2017-08-20,0.000941258,0.00118032063565173,94125,118032,0,0,0,0,3,75,4,100,4,100,4,4,0
2017-09-03,0.000957988,0.00108642562361706,95798,108642,0,0,0,0,3,75,4,100,4,100,4,4,0
2017-09-10,0.000857753,0.00128233058265602,85775,128233,0,0,0,0,1,25,4,100,4,100,4,4,0
2017-10-15,0.000141448,0.000185353162341481,14144,18535,0,0,0,0,0,0,0,0,2,50,4,4,0
2017-10-22,0.000490736,0.000698232404077171,49073,69823,0,0,0,0,0,0,3,75,4,100,4,4,0
2017-10-29,0.000102651,0.000119124200802737,10265,11912,0,0,0,0,0,0,0,0,0,0,3,4,25
2017-11-19,8.667e-05,0.000106659612123026,8667,10665,0,0,0,0,0,0,0,0,0,0,2,4,50
2017-12-17,7.8705e-05,7.87045789695099e-05,7870,7870,0,0,0,0,0,0,0,0,0,0,1,4,75
2018-01-21,0.000104803,0.000133045441797809,10480,13304,0,0,0,0,0,0,0,0,1,50,2,4,50
2018-05-20,0.003376093,0.00356451133426244,337609,356451,0,0,0,0,4,100,4,100,4,100,4,4,0
2018-05-27,0.004919371,0.00570164272280747,491937,570164,0,0,4,100,4,100,4,100,4,100,4,4,0
2018-06-03,0.045762954,0.0505824662003114,4576295,5058246,4,100,4,100,4,100,4,100,4,100,4,4,0
2018-06-24,0.006002963,0.00672976656284317,600296,672976,0,0,4,100,4,100,4,100,4,100,4,4,0
2018-07-01,0.001808827,0.00293764965196153,180882,293764,0,0,0,0,4,100,4,100,4,100,4,4,0
2018-07-08,0.000992402,0.00118032063565173,99240,118032,0,0,0,0,1,33,3,100,3,100,3,4,25
2018-07-15,0.003877814,0.00420726628384444,387781,420726,0,0,1,25,4,100,4,100,4,100,4,4,0
2018-07-22,0.003742091,0.00387257644921617,374209,387257,0,0,0,0,4,100,4,100,4,100,4,4,0
2018-07-29,0.004037599,0.00409260659730011,403759,409260,0,0,3,75,4,100,4,100,4,100,4,4,0
2018-08-19,0.000912158,0.00105681750921366,91215,105681,0,0,0,0,1,25,4,100,4,100,4,4,0
2018-09-09,0.003677658,0.00420726628384444,367765,420726,0,0,2,50,4,100,4,100,4,100,4,4,0
2018-09-16,0.001473148,0.00151356124843621,147314,151356,0,0,0,0,4,100,4,100,4,100,4,4,0
2018-09-23,0.002746614,0.00301995172040201,274661,301995,0,0,0,0,4,100,4,100,4,100,4,4,0
2018-09-30,0.00204303,0.0022284351492703,204303,222843,0,0,0,0,4,100,4,100,4,100,4,4,0
2018-10-07,0.002071511,0.00285759054337495,207151,285759,0,0,0,0,4,100,4,100,4,100,4,4,0
2018-10-14,0.001098551,0.00121338885046498,109855,121338,0,0,0,0,3,75,4,100,4,100,4,4,0
2018-10-21,0.00267818,0.00301995172040201,267818,301995,0,0,0,0,4,100,4,100,4,100,4,4,0
2018-10-28,0.004570882,0.00457088189614875,457088,457088,0,0,2,100,2,100,2,100,2,100,2,4,50
2018-11-04,0.000182363,0.000288403150312661,18236,28840,0,0,0,0,0,0,1,25,3,75,4,4,0
2018-11-11,0.000416421,0.000608135001278718,41642,60813,0,0,0,0,0,0,3,75,4,100,4,4,0
2018-11-18,0.000203544,0.000340408189701001,20354,34040,0,0,0,0,0,0,1,50,1,50,2,4,50
2018-12-02,0.000170608,0.000170608238900312,17060,17060,0,0,0,0,0,0,0,0,2,100,2,4,50
2018-12-09,7.0469e-05,7.04693068967147e-05,7046,7046,0,0,0,0,0,0,0,0,0,0,1,4,75
2018-12-23,0.000181215,0.000349945167028357,18121,34994,0,0,0,0,0,0,1,25,2,50,4,4,0
2019-03-17,0.00011272,0.000112719745617551,11271,11271,0,0,0,0,0,0,0,0,0,0,1,4,75
2019-06-23,0.003726868,0.00398107170553497,372686,398107,0,0,0,0,4,100,4,100,4,100,4,4,0
2019-07-07,0.006248444,0.00672976656284317,624844,672976,0,0,4,100,4,100,4,100,4,100,4,4,0
2019-07-14,0.003355081,0.00366437574647833,335508,366437,0,0,0,0,4,100,4,100,4,100,4,4,0
2019-07-21,0.006785791,0.00711213513653329,678579,711213,0,0,4,100,4,100,4,100,4,100,4,4,0
2019-07-28,0.011988351,0.0134276496113786,1198835,1342764,0,0,4,100,4,100,4,100,4,100,4,4,0
2019-08-04,0.00746785,0.00772680585095702,746784,772680,0,0,4,100,4,100,4,100,4,100,4,4,0
2019-08-11,0.007638986,0.00839459986519397,763898,839459,0,0,4,100,4,100,4,100,4,100,4,4,0
