,x,y,transverse_mercator,lon,lat,sza,vza,saa,vaa,raa,rhot_401,rhos_401,rhot_412,rhos_412,rhot_443,rhos_443,rhot_490,rhos_490,rhot_510,rhos_510,rhot_560,rhos_560,rhot_620,rhos_620,rhot_665,rhos_665,rhot_674,rhos_674,rhot_681,rhos_681,rhot_709,rhos_709,rhot_754,rhos_754,rhot_762,rhot_765,rhot_768,rhos_768,rhot_779,rhos_779,rhot_865,rhos_865,rhot_884,rhos_884,rhot_899,rhot_939,rhot_1016,rhos_1016,geometry
0,294150.0,4785750.0,9.969209968386869e+36,-89.535446,43.197784,28.365347,11.113492,130.24913,104.05246,26.196672,0.17326123,0.03137399,0.16152495,0.03525602,0.14093634,0.04925673,0.120235346,0.06251254,0.1174246,0.071117416,0.125602,0.10318228,0.11854852,0.10632704,0.123307906,0.11179057,0.12443274,0.11289006,0.12640944,0.11555813,0.17887983,0.1746118,0.32119536,0.3211291,0.09967099,0.14873952,0.27549228,0.29811564,0.33855665,0.33603022,0.3743926,0.3718817,0.38042465,0.37939593,0.3013751,0.14712885,0.38388413,0.38587895,POINT (-89.53544616699219 43.197784423828125)
1,294150.0,4785450.0,9.969209968386869e+36,-89.53533,43.195087,28.363014,11.103272,130.24661,104.053825,26.192787,0.17139396,0.028740268,0.15893213,0.031727035,0.137467,0.044886597,0.11561448,0.057068598,0.113064654,0.06603329,0.12242667,0.099487126,0.11208172,0.098994434,0.11411577,0.101882294,0.114870615,0.1026744,0.11684151,0.105360635,0.17694214,0.17255,0.33557978,0.33595404,0.10428866,0.15568906,0.28781712,0.31188592,0.35322192,0.35095316,0.38951918,0.3871182,0.39588037,0.39500314,0.31264243,0.15170673,0.3950348,0.39716637,POINT (-89.53533172607422 43.19508743286133)
2,294150.0,4785150.0,9.969209968386869e+36,-89.53522,43.192387,28.36113,11.097368,130.24321,104.0545,26.188713,0.16843285,0.02454293,0.15533671,0.026814703,0.13166562,0.03755504,0.10612327,0.0458564,0.10257803,0.05377467,0.11192288,0.087243125,0.093264125,0.07762016,0.0892571,0.075041294,0.08846692,0.07441819,0.09004731,0.07675626,0.15690476,0.15121295,0.33779892,0.33823958,0.10461036,0.15711921,0.289698,0.3139861,0.35451466,0.35226756,0.38645783,0.3840345,0.3921276,0.39121357,0.30909854,0.14862272,0.38516083,0.3871719,POINT (-89.53521728515625 43.192386627197266)
3,294150.0,4784850.0,9.969209968386869e+36,-89.53511,43.18969,28.359241,11.091442,130.23982,104.055176,26.184639,0.16879973,0.02507203,0.15524147,0.026690865,0.13107653,0.036813516,0.105173536,0.044734925,0.1007003,0.0515777,0.10576583,0.08005496,0.08999078,0.073896945,0.08751592,0.07315884,0.08697327,0.07281766,0.0883967,0.074991845,0.14474495,0.13824777,0.2825719,0.28125292,0.08687722,0.13125095,0.24189763,0.26052183,0.29586008,0.2925094,0.32660314,0.32367867,0.33192226,0.3303526,0.26165974,0.12612641,0.3379659,0.3393628,POINT (-89.53511047363281 43.18968963623047)
4,294150.0,4784550.0,9.969209968386869e+36,-89.534996,43.18699,28.357357,11.085561,130.2364,104.05585,26.180563,0.16865791,0.02487808,0.15517247,0.026602881,0.13095668,0.03666612,0.10515555,0.044716086,0.10048205,0.05132396,0.10517364,0.079364,0.08987204,0.07376221,0.08790755,0.07358234,0.08761459,0.073504895,0.088972986,0.07560787,0.14414448,0.13760704,0.27355757,0.27193215,0.08478399,0.12675422,0.23379669,0.2514443,0.2867301,0.28318945,0.31879932,0.3157982,0.32495216,0.32329693,0.2557108,0.12296127,0.3340178,0.33536068,POINT (-89.53499603271484 43.186988830566406)
5,294150.0,4784250.0,9.969209968386869e+36,-89.53488,43.18429,28.355474,11.0796995,130.233,104.05652,26.176485,0.16971157,0.026382577,0.15657346,0.02852751,0.13337906,0.039736878,0.10847679,0.048647624,0.10441985,0.05593624,0.11044775,0.08552429,0.09698502,0.081851944,0.09714463,0.083565116,0.0976825,0.08428832,0.099191435,0.086525865,0.15224215,0.14624256,0.28590542,0.28469747,0.08825782,0.13237716,0.24451067,0.26344788,0.30000925,0.29674217,0.33310542,0.3302412,0.33916867,0.3376841,0.26589704,0.12683491,0.34756118,0.3490883,POINT (-89.53488159179688 43.18429183959961)
6,294150.0,4783950.0,9.969209968386869e+36,-89.534775,43.181595,28.353596,11.073856,130.22958,104.05718,26.172407,0.17381035,0.032203022,0.16175395,0.035612512,0.14071281,0.0490044,0.119755395,0.061963405,0.116485916,0.07003541,0.12131292,0.09819447,0.119547404,0.10746149,0.12915897,0.118093066,0.13174988,0.120701015,0.13412742,0.12377726,0.1697515,0.164896,0.26532152,0.26341105,0.08252252,0.122895494,0.22777575,0.24469392,0.27935183,0.27565363,0.31260312,0.30953866,0.3184945,0.3167577,0.24998276,0.119975165,0.333618,0.33495563,POINT (-89.53477478027344 43.18159484863281)
7,294150.0,4783650.0,9.969209968386869e+36,-89.53466,43.178894,28.35172,11.068044,130.22617,104.05784,26.168324,0.17470576,0.033478163,0.16232793,0.03640182,0.14190277,0.050508853,0.12122484,0.063697,0.11789179,0.071676895,0.12130803,0.09818968,0.12184017,0.11005993,0.13337742,0.12263454,0.13590531,0.1251345,0.13852589,0.12845884,0.1685412,0.16360725,0.26606843,0.26418352,0.08277338,0.12409056,0.2299792,0.24716388,0.28173876,0.27809113,0.3139888,0.31093782,0.31926954,0.3175419,0.25144085,0.120504074,0.32943386,0.3307137,POINT (-89.53466033935547 43.17889404296875)
8,294150.0,4783350.0,9.969209968386869e+36,-89.534546,43.176197,28.349844,11.062224,130.22275,104.0585,26.164242,0.17517237,0.034145918,0.16309378,0.037452374,0.14279114,0.05163255,0.12307426,0.06587714,0.11978819,0.07388952,0.12330024,0.10051071,0.12605765,0.11483734,0.13864432,0.12830211,0.1412525,0.13083695,0.14408518,0.13437332,0.17338206,0.1687602,0.25418046,0.25187758,0.07842063,0.11836469,0.21878017,0.23460402,0.2682124,0.2642709,0.30116352,0.2979791,0.30682567,0.30493835,0.24192087,0.11796966,0.32364023,0.32483912,POINT (-89.5345458984375 43.17619705200195)
9,294150.0,4783050.0,9.969209968386869e+36,-89.53444,43.173496,28.34797,11.056434,130.21931,104.05916,26.16016,0.17688075,0.03656906,0.16515726,0.040269762,0.14533155,0.054835472,0.12695055,0.07044005,0.12386525,0.07864054,0.12657051,0.104318276,0.1325148,0.12214643,0.14764982,0.13798578,0.1504905,0.14068194,0.15399425,0.14490812,0.17924668,0.1750003,0.23147072,0.22834404,0.07137964,0.106859,0.19714484,0.21031424,0.24238051,0.23784885,0.2757764,0.27230844,0.28244564,0.28022853,0.22326921,0.11121993,0.3114912,0.31251717,POINT (-89.53443908691406 43.17349624633789)
10,294150.0,4782750.0,9.969209968386869e+36,-89.534325,43.1708,28.346094,11.050611,130.2159,104.05982,26.156078,0.17671247,0.03633862,0.16484646,0.039852966,0.14512661,0.054581836,0.12636048,0.069748506,0.1238995,0.07868225,0.12742145,0.10530927,0.13064425,0.12003012,0.14160529,0.13148701,0.14358188,0.13332011,0.14721139,0.13769785,0.18225037,0.17819504,0.24549225,0.24287759,0.075938225,0.11301428,0.2085931,0.2231707,0.2571614,0.25297147,0.29223123,0.28894907,0.29910553,0.29711527,0.2367488,0.11768752,0.3265482,0.3277882,POINT (-89.5343246459961 43.170799255371094)
11,294150.0,4782450.0,9.969209968386869e+36,-89.53421,43.1681,28.344213,11.044743,130.2125,104.06049,26.151999,0.17471643,0.033522982,0.16226794,0.03634558,0.14202723,0.050682858,0.122424476,0.06511924,0.12015276,0.07431992,0.124550596,0.10196912,0.12357395,0.11202533,0.13190699,0.12105175,0.13367288,0.12275273,0.13679005,0.12661123,0.17839158,0.1740902,0.2608674,0.25879934,0.08078889,0.120405026,0.2223193,0.2385728,0.27381212,0.26999202,0.31013042,0.3070378,0.31704748,0.31528947,0.25109306,0.12461871,0.34157613,0.34302342,POINT (-89.53421020507812 43.16809844970703)
12,294150.0,4782150.0,9.969209968386869e+36,-89.5341,43.1654,28.342333,11.038892,130.20908,104.06116,26.147919,0.17358021,0.031921737,0.16086216,0.034434047,0.14015287,0.048324022,0.119185865,0.061306503,0.116479985,0.070039615,0.121372916,0.09826975,0.1158315,0.103250965,0.12185576,0.110226184,0.12345101,0.1118414,0.12583293,0.11494339,0.17008747,0.16525255,0.27356339,0.271935,0.08480391,0.12634028,0.23355125,0.2511658,0.28699714,0.28345847,0.3217478,0.318771,0.3286625,0.3270479,0.25972062,0.12831749,0.34571725,0.3472207,POINT (-89.53410339355469 43.165401458740234)
