band,name,value,img_date
453,comp_1,0.16316896359330124,2021_06_05
453,comp_2,0.08504598244008468,2021_06_05
453,comp_3,0.18485074931160014,2021_06_05
461,comp_1,0.16427211644459772,2021_06_05
461,comp_2,0.08443449861513047,2021_06_05
461,comp_3,0.17302314473623914,2021_06_05
468,comp_1,0.16458467248733144,2021_06_05
468,comp_2,0.083289595801328,2021_06_05
468,comp_3,0.1719463494591098,2021_06_05
475,comp_1,0.16526337697608068,2021_06_05
475,comp_2,0.08445385493238217,2021_06_05
475,comp_3,0.16875426221557327,2021_06_05
483,comp_1,0.1654908887663994,2021_06_05
483,comp_2,0.08438739107806345,2021_06_05
483,comp_3,0.1609498729524847,2021_06_05
490,comp_1,0.16568008622261002,2021_06_05
490,comp_2,0.08318920606609875,2021_06_05
490,comp_3,0.17311828649013047,2021_06_05
497,comp_1,0.1663377639189459,2021_06_05
497,comp_2,0.08347945828660205,2021_06_05
497,comp_3,0.13370650171756995,2021_06_05
505,comp_1,0.16727445244011283,2021_06_05
505,comp_2,0.08196791345339746,2021_06_05
505,comp_3,0.1005529536791095,2021_06_05
512,comp_1,0.1683083393379612,2021_06_05
512,comp_2,0.07793086042869804,2021_06_05
512,comp_3,0.06382377478452364,2021_06_05
520,comp_1,0.17033756975690706,2021_06_05
520,comp_2,0.06799137044789846,2021_06_05
520,comp_3,0.039175963968522055,2021_06_05
527,comp_1,0.17196957689049194,2021_06_05
527,comp_2,0.058046665399628085,2021_06_05
527,comp_3,-0.03491281251168349,2021_06_05
535,comp_1,0.17238616087267977,2021_06_05
535,comp_2,0.0486290023286431,2021_06_05
535,comp_3,-0.14369172613077705,2021_06_05
543,comp_1,0.17107600010571242,2021_06_05
543,comp_2,0.042544431434556676,2021_06_05
543,comp_3,-0.2507785084398008,2021_06_05
551,comp_1,0.16908653509546165,2021_06_05
551,comp_2,0.038483306078071315,2021_06_05
551,comp_3,-0.33758860335089097,2021_06_05
559,comp_1,0.16760508116399603,2021_06_05
559,comp_2,0.036765724837935665,2021_06_05
559,comp_3,-0.3859743840364431,2021_06_05
567,comp_1,0.16773335498869638,2021_06_05
567,comp_2,0.03794472892891176,2021_06_05
567,comp_3,-0.38168818182716874,2021_06_05
575,comp_1,0.16923591935941312,2021_06_05
575,comp_2,0.041538593966436034,2021_06_05
575,comp_3,-0.3334016429973347,2021_06_05
584,comp_1,0.17158099184132616,2021_06_05
584,comp_2,0.041737335198468985,2021_06_05
584,comp_3,-0.2516284553270069,2021_06_05
592,comp_1,0.17352260797427888,2021_06_05
592,comp_2,0.038658346426399,2021_06_05
592,comp_3,-0.1506322739741882,2021_06_05
601,comp_1,0.17470767924722383,2021_06_05
601,comp_2,0.03406591339710663,2021_06_05
601,comp_3,-0.054487629699814605,2021_06_05
610,comp_1,0.17488445662517393,2021_06_05
610,comp_2,0.031931120791149674,2021_06_05
610,comp_3,0.013661929023474365,2021_06_05
619,comp_1,0.1745993448882937,2021_06_05
619,comp_2,0.03281255666505052,2021_06_05
619,comp_3,0.052565738822914446,2021_06_05
628,comp_1,0.1744693818844689,2021_06_05
628,comp_2,0.03333230216635848,2021_06_05
628,comp_3,0.06966180196405233,2021_06_05
637,comp_1,0.1744761602160749,2021_06_05
637,comp_2,0.03259162032510823,2021_06_05
637,comp_3,0.07727322975874507,2021_06_05
646,comp_1,0.17434151531053,2021_06_05
646,comp_2,0.03426172374657046,2021_06_05
646,comp_3,0.06998374834317811,2021_06_05
655,comp_1,0.17400037979979602,2021_06_05
655,comp_2,0.036280902056279866,2021_06_05
655,comp_3,0.0774147131089479,2021_06_05
665,comp_1,0.17367707026465617,2021_06_05
665,comp_2,0.03901105583010596,2021_06_05
665,comp_3,0.11378915616437116,2021_06_05
674,comp_1,0.17321404648578093,2021_06_05
674,comp_2,0.03953399930913431,2021_06_05
674,comp_3,0.14596026931216738,2021_06_05
684,comp_1,0.17318886799095295,2021_06_05
684,comp_2,0.03485615846735008,2021_06_05
684,comp_3,0.14978241158249314,2021_06_05
694,comp_1,0.17418705896884004,2021_06_05
694,comp_2,0.010868248781657854,2021_06_05
694,comp_3,0.07603616268828584,2021_06_05
704,comp_1,0.17200132862854617,2021_06_05
704,comp_2,-0.04160132491256016,2021_06_05
704,comp_3,-0.0028202543735290596,2021_06_05
714,comp_1,0.15967797185544402,2021_06_05
714,comp_2,-0.11318071595353986,2021_06_05
714,comp_3,0.013561584262567681,2021_06_05
724,comp_1,0.13277324462291215,2021_06_05
724,comp_2,-0.18728706666801567,2021_06_05
724,comp_3,0.0617758137914943,2021_06_05
734,comp_1,0.10387207874446755,2021_06_05
734,comp_2,-0.2337388724974401,2021_06_05
734,comp_3,0.0423341638811287,2021_06_05
744,comp_1,0.081201621170018,2021_06_05
