y,x,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10
258,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,598,0.0053316358209427196,0.036499871696500784,-0.01804801705234528,2.6542684453765176e-4,0.011120865763198085,0.004886707116585039,-0.0032498314528812407,0.005041070011699253,0.0030744344843975633,0.006062698451037453
232,599,0.01504696088423333,0.0851848389632441,-0.0534578356174012,-0.012843472579589312,0.008690323613297371,0.005205344760277968,-0.015304042195630576,0.01751337306785007,0.009424028219917082,0.006606306273960092
232,598,0.014591203704581486,0.08081125146676334,-0.04908686618339147,-0.01567426912215601,0.010361410878602755,0.004374769292699228,-0.009773010521221892,0.01587724331377122,0.012126634785994432,0.012688878685790056
231,600,0.005165366871860921,0.03602190799002791,-0.017619938549095243,-1.7805067054295137e-5,0.010060594516352342,0.0039678453791067,-0.00327176916013507,0.00548770266315168,0.0030687621922039334,0.005310290109958624
231,599,0.01796832225612474,0.08324779683430904,-0.0519885844712229,-0.009232660811377337,0.009111077087954533,4.721655435706955e-4,-0.01171645940550525,0.017472481705995656,0.008954554590323766,0.010081026317443675
231,598,0.01246771859440008,0.0792608382245248,-0.04542383148428918,-0.012205195915274868,0.0075717556579415705,0.004827837212715391,-0.01672704431182946,0.02012254549428352,0.010271448195926949,0.010287064596880502
231,597,0.005240363612249512,0.03644884790396446,-0.01766398488917161,4.2310590146969187e-4,0.01070407536969098,0.0046587665164792074,-0.0025244709527498846,0.005428367473853584,0.002695606910451014,0.005937391748062442
