"","date","rhow_400_avg","rhow_412_avg","rhow_443_avg","rhow_490_avg","rhow_510_avg","rhow_560_avg","rhow_620_avg","rhow_665_avg","rhow_674_avg","rhow_682_avg","rhow_709_avg","rhow_754_avg","rhow_768_avg","rhow_779_avg","rhow_865_avg","rhow_884_avg","rhow_1016_avg","rhow_401_avg","rhow_681_avg","rhow_400_med","rhow_412_med","rhow_443_med","rhow_490_med","rhow_510_med","rhow_560_med","rhow_620_med","rhow_665_med","rhow_674_med","rhow_682_med","rhow_709_med","rhow_754_med","rhow_768_med","rhow_779_med","rhow_865_med","rhow_884_med","rhow_1016_med","rhow_401_med","rhow_681_med","rhow_400_sd","rhow_412_sd","rhow_443_sd","rhow_490_sd","rhow_510_sd","rhow_560_sd","rhow_620_sd","rhow_665_sd","rhow_674_sd","rhow_682_sd","rhow_709_sd","rhow_754_sd","rhow_768_sd","rhow_779_sd","rhow_865_sd","rhow_884_sd","rhow_1016_sd","rhow_401_sd","rhow_681_sd"
"1","2020_06_02",0.00618687633206913,0.00465805737572193,0.0130402030692366,0.0173586834026754,0.0194630192054466,0.0266712406116575,0.0176139111501075,0.0146044277418714,0.0143721980226938,0.0143916431522024,0.0153179260086139,0.0248651865080896,0.0251456469413463,0.02251982826291,0.0170019831525953,NA,0.0219447355957415,NA,NA,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,0.000746752590684834,NA,0.000746752590684834,NA,NA,0.0225247538654587,0.0171088678539104,0.0497210389128756,0.0669875718579968,0.0754963472188884,0.105366389797917,0.068924231920316,0.056649024815142,0.0556220946053825,0.0557325786366605,0.0608899990678356,0.102405591460259,0.103649497918801,0.0936789804942185,0.0737623259519843,NA,0.0930433261848251,NA,NA
"2","2020_12_25",NA,0.0281836534839282,0.0318802082054368,0.0334487115981783,0.0342449607959934,0.0369374232062914,0.0317813839837356,0.0305816780228396,0.0302795442593667,NA,0.0315769603471399,0.0288594455617317,0.0294746231582779,0.0279488759134161,0.0262810151618722,NA,0.0273369599579939,0.0306264782571056,0.030483492735771,NA,0.0194267691954439,0.0194267691954439,0.0194267691954439,0.0194267691954439,0.0194267691954439,0.0194267691954439,0.0194267691954439,0.0194267691954439,NA,0.0194267691954439,0.0194267691954439,0.0194267691954439,0.0194267691954439,0.0194267691954439,NA,0.0194267691954439,0.0194267691954439,0.0194267691954439,NA,0.0361503089303361,0.0489189177671282,0.0549443293447378,0.0578377198992164,0.0673741972180086,0.0510634941289991,0.0472633006378814,0.0462187766159541,NA,0.0511842549263747,0.0430149665230143,0.0446510807276996,0.0400517213258482,0.0354984967468718,NA,0.0365799724215053,0.0438200888920833,0.046938665315219
"3","2021_06_05",NA,0.11626884445912,0.119143389926821,0.121364491408064,0.12266388602586,0.12651028567383,0.12220027863974,0.121313708825388,0.121229626282218,NA,0.122658006624541,0.127229915700155,0.127555695993022,0.126893051642159,0.12611465376891,0.125564487576072,0.128343592745784,0.117086583933399,0.121351263840336,NA,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,NA,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,0.114378671380696,NA,0.0165636243698773,0.0326089929118624,0.0464828126462051,0.0549780269482782,0.0808411880454991,0.0519801789746092,0.0462030031287365,0.0456015756949667,NA,0.0552407130516443,0.0851759188485776,0.0873689272804229,0.0831683169016807,0.0788899990219194,0.0757248979626306,0.0924009344932611,0.0212479018959948,0.0464204530913449
"4","2021_06_11",0.361191596007654,0.234465141777427,0.220136399601642,0.205036895738973,0.243864488156105,0.487805468685323,0.153915015319245,0.0923257947484492,0.080498119489457,0.0820974547432434,0.118369866279614,0.362465331724236,0.362366488159021,0.327487265884073,0.228453079117061,0.178611345041677,0.266836293270061,NA,NA,0.314575750499055,0.188947646242757,0.174367075084381,0.16462295143269,0.203470939777679,0.488715781906636,0.130805787079994,0.0695481476793578,0.0549583772715348,0.0565201675507317,0.107225663100444,0.324983571196861,0.32615381064699,0.292108138622106,0.198863124334947,0.152972992844622,0.240826896745247,NA,NA,0.183720577998986,0.173007529358077,0.147547939308126,0.113640324364245,0.101694036526154,0.0928975945564916,0.0785960871664246,0.072921145267318,0.0720095685971841,0.0709755720857195,0.0747470909596094,0.107571301018129,0.10686512510088,0.104261152231213,0.0964745081645114,0.0942884276533754,0.0946730725560669,NA,NA
"5","2021_06_15",0.249947937248719,0.225465876443611,0.333673078323333,0.411778129027793,0.476944630214555,0.755070072931549,0.408690404668508,0.350742106005702,0.326816743850365,0.327826117725104,0.408864629306495,0.430871107786388,0.43488906555449,0.395549351543287,0.274076328782803,0.231490716995817,0.346687203588514,NA,NA,0.250550697581147,0.225497587240981,0.331160254073651,0.410874196822957,0.475384370124731,0.757429313217676,0.403653595171813,0.34715579661994,0.321604873133879,0.322090483633501,0.396554500118548,0.363390278511837,0.367433768554118,0.332938844117706,0.225329358969565,0.191327427113905,0.287269830774723,NA,NA,0.0217863387550699,0.0223619079684383,0.0263930727104496,0.0305199489782328,0.0353267850047938,0.0727431757164542,0.046386501976744,0.0423781904439332,0.0406640051159211,0.0412739627205927,0.0723440462340486,0.151492361057464,0.155613392948013,0.154744620243943,0.15940918400908,0.161387542663259,0.172321448424314,NA,NA
"6","2021_08_15",0.230193359548165,0.216631909251579,0.273138034027368,0.371600755988926,0.454887348878032,0.803868806067712,0.432026615112935,0.347555303158243,0.304074713178606,0.304663158502562,0.411845408484095,0.322495559444785,0.31343778014642,0.302040425325694,0.201352141998515,NA,0.217566727660856,NA,NA,0.232018744603617,0.21870898234782,0.273628462652128,0.371255898167917,0.453216462093359,0.805308090616696,0.427361924854365,0.341005548194259,0.296698788060997,0.296886678050938,0.373870328402476,0.255043414069184,0.249638997644049,0.238371280218281,0.154883729016779,NA,0.168949131780392,NA,NA,0.0251703123218682,0.0222557106722643,0.0194717100530421,0.0256246854103937,0.0311910427344672,0.0799481914422066,0.0478381648879178,0.0384543307620266,0.0342363548892841,0.0362877324400187,0.113137368711776,0.139179567775832,0.138969632004894,0.14139174414272,0.141309237096715,NA,0.150066038411211,NA,NA
"7","2021_09_05",NA,0.0552218331303504,0.0615398833626283,0.0706020686049675,0.0773411547054105,0.0994098551478353,0.0770780272651403,0.074296821462653,0.0710622677938506,NA,0.0784889545907621,0.0749620103142508,0.0700438592683821,0.0739689663006443,0.0681829481440299,0.066058411010204,0.0687971592845215,0.0574051050882702,0.071223862869554,NA,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,NA,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,0.0511378798989021,NA,0.0158042298432567,0.0353270013837544,0.0648906177613305,0.0871264821628479,0.161230336682944,0.0869002666631113,0.0779707506156654,0.0671646689047931,NA,0.0965773040619822,0.089524822646346,0.0735789227056585,0.0872994264196263,0.0720134401933486,0.0668679063433079,0.0751100741064989,0.0223984800135722,0.0677221387619463
"8","2021_11_02",NA,0.302873381426977,0.344322455127342,0.359529793623143,0.380026211355069,0.453681846808344,0.341065986084482,0.311771063392918,0.299556812547721,NA,0.34300153211409,0.295866807663927,0.265581327427242,0.281454673722592,0.242392086309378,0.230318765794782,0.272924143150864,0.336409272869091,0.302445328679641,NA,0.274430762392653,0.313506648734972,0.32880006031835,0.344901278909486,0.402551523187026,0.303095092396416,0.270233168686451,0.26079114765368,NA,0.290615429223242,0.241695504695233,0.21615568715039,0.226974681271203,0.180939387069736,0.165058499880592,0.213543925554409,0.30893433737133,0.263742613708815,NA,0.107513636460682,0.109444156106465,0.116805078656909,0.123590854542783,0.161344271536323,0.12588404541827,0.127812067559758,0.124581471652837,NA,0.160127849768388,0.154612050193627,0.143122714996891,0.156379354144949,0.166264260920677,0.170117761742807,0.175241303624081,0.107749592616067,0.126124099584405
"9","2021_12_13",NA,0.141913877855698,0.150923701156779,0.156605322953029,0.159287808062754,0.166282167279531,0.159673327888255,0.156766444173072,0.156370387411553,0.156818053587791,0.158713273265309,0.155668240765321,0.156329158072068,0.154416887014901,0.152053253072059,0.151259636480168,0.155629110945359,NA,NA,NA,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,0.138866992872328,NA,NA,NA,0.0310252578794245,0.0524505751164955,0.0710275004053184,0.0803864690503243,0.105706069559596,0.0821908343808942,0.0715876654379349,0.0700843080035225,0.0718530303237972,0.079130857290208,0.0686462459604746,0.0710930428252905,0.064291852005071,0.0572229083098942,0.0550632708022196,0.068462389811782,NA,NA
"10","2022_06_02",NA,0.0797818839234331,0.0864819816726544,0.0916869921912524,0.0953706715962346,0.107466373311921,0.0878106095338764,0.0835817848584547,0.0825745773816634,NA,0.0857285147538721,0.0870552537446233,0.0829775231102197,0.0857016890304225,0.0804538592005493,NA,0.0841329329065551,0.0809042382650342,0.0826647103861156,NA,0.0609611376675209,0.0609611376675209,0.0609611376675209,0.0609611376675209,0.0609611376675209,0.0609611376675209,0.0609611376675209,0.0609611376675209,NA,0.0609611376675209,0.0609611376675209,0.0609611376675209,0.0609611376675209,0.0609611376675209,NA,0.0609611376675209,0.0609611376675209,0.0609611376675209,NA,0.0624374879452994,0.0844315136244023,0.101616361956695,0.113845568066165,0.155393667489081,0.0901452441819424,0.0761099843086805,0.0726481530633104,NA,0.0860894768754737,0.0968098533949617,0.0832305374205837,0.0933795645718952,0.0794519004199449,NA,0.0906896397411558,0.0660777887268025,0.0729772682787556
