,x,y,transverse_mercator,lon,lat,sza,vza,saa,vaa,raa,rhot_400,rhos_400,rhot_412,rhos_412,rhot_443,rhos_443,rhot_490,rhos_490,rhot_510,rhos_510,rhot_560,rhos_560,rhot_620,rhos_620,rhot_665,rhos_665,rhot_674,rhos_674,rhot_682,rhos_682,rhot_709,rhos_709,rhot_754,rhos_754,rhot_762,rhot_765,rhot_768,rhos_768,rhot_779,rhos_779,rhot_865,rhos_865,rhot_884,rhos_884,rhot_899,rhot_939,rhot_1016,rhos_1016,geometry
0,294150.0,4785750.0,9.969209968386869e+36,-89.535446,43.197784,38.396976,34.183228,131.0579,100.695885,30.362015,0.20794539,0.017823653,0.19111133,0.02116097,0.15848471,0.033182487,0.12160907,0.040569473,0.11461282,0.048647627,0.117434144,0.08277416,0.09140773,0.068732515,0.08229714,0.06222403,0.081026375,0.061400875,0.0813857,0.06286938,0.14225821,0.13259335,0.39490682,0.39788035,0.11382023,0.20783406,0.37895718,0.41326377,0.42673096,0.42515567,0.46022332,0.45819107,0.46134502,0.46148401,0.3103418,0.08531664,0.43040955,0.43374053,POINT (-89.53544616699219 43.197784423828125)
1,294150.0,4785450.0,9.969209968386869e+36,-89.53533,43.195087,38.395626,34.183895,131.05466,100.695786,30.358873,0.2066042,0.015803823,0.18938139,0.018667752,0.15607083,0.030005151,0.11795381,0.03612039,0.110489085,0.043690193,0.11360993,0.07819269,0.08386478,0.059967108,0.07320075,0.0522559,0.0719898,0.05159979,0.07237561,0.053110614,0.13875955,0.1288181,0.3990133,0.4021426,0.11461148,0.2081652,0.38007623,0.4145161,0.42754117,0.4259817,0.46070257,0.4586744,0.46199018,0.46213695,0.31167105,0.08617772,0.43239152,0.43575364,POINT (-89.53533172607422 43.19508743286133)
2,294150.0,4785150.0,9.969209968386869e+36,-89.53522,43.192387,38.393883,34.1816,131.05212,100.6961,30.356024,0.20618224,0.015178094,0.1882633,0.017063962,0.15431365,0.027696522,0.116304174,0.0341149,0.10872634,0.04157276,0.11217228,0.07647162,0.08282428,0.058758695,0.0716566,0.05056396,0.07034085,0.04981148,0.07056159,0.051145885,0.14434059,0.13484037,0.38647565,0.389126,0.11080738,0.20152868,0.3659897,0.39874488,0.41075996,0.4088629,0.44644153,0.44428608,0.44941863,0.44940922,0.3030951,0.0848444,0.42904493,0.4323543,POINT (-89.53521728515625 43.192386627197266)
3,294150.0,4784850.0,9.969209968386869e+36,-89.53511,43.18969,38.392097,34.178967,131.04967,100.696465,30.353205,0.20440178,0.012505145,0.18610503,0.013958033,0.15139851,0.023859138,0.11309157,0.0302032,0.104982965,0.037069704,0.108786605,0.072414115,0.0806339,0.056212958,0.06892484,0.047569465,0.06723311,0.046439614,0.06752574,0.04785663,0.14507475,0.13563307,0.35610664,0.3575568,0.1010752,0.18451539,0.33504936,0.3640576,0.37656304,0.37393206,0.41646177,0.41401508,0.4204914,0.42010233,0.2846559,0.07952732,0.40921387,0.41220552,POINT (-89.53511047363281 43.18968963623047)
4,294150.0,4784550.0,9.969209968386869e+36,-89.534996,43.18699,38.38957,34.17076,131.04855,100.697624,30.350931,0.20411181,0.012099015,0.18560335,0.01326071,0.15062797,0.022861717,0.11227967,0.029225303,0.104483455,0.03647834,0.10883798,0.07248234,0.080229126,0.055746544,0.06831965,0.04690904,0.06655972,0.045711786,0.06706552,0.047360778,0.1462467,0.13689938,0.36172634,0.3634041,0.10239362,0.18647535,0.34049436,0.37016776,0.38283044,0.38033956,0.42427477,0.4219077,0.42837483,0.4280925,0.29015484,0.08082805,0.4162661,0.41937196,POINT (-89.53499603271484 43.186988830566406)
5,294150.0,4784250.0,9.969209968386869e+36,-89.53488,43.18429,38.387207,34.163822,131.04713,100.6986,30.348534,0.20378008,0.011625183,0.18577081,0.01352613,0.15105192,0.023438014,0.112465225,0.029462237,0.10456451,0.03658479,0.10800232,0.07148556,0.07873414,0.054011222,0.06693501,0.045393102,0.06521777,0.04425763,0.06581453,0.046007197,0.13975184,0.12989458,0.38223305,0.38472143,0.10917449,0.19840321,0.3629364,0.39532673,0.40829113,0.40634507,0.44837144,0.44623473,0.4510487,0.45106074,0.30467254,0.084863394,0.43046206,0.43379417,POINT (-89.53488159179688 43.18429183959961)
6,294150.0,4783950.0,9.969209968386869e+36,-89.534775,43.181595,38.38603,34.16574,131.04358,100.69831,30.345268,0.20348792,0.011178873,0.18602613,0.013890264,0.15144439,0.023952557,0.11287199,0.029956216,0.10454071,0.03655432,0.105847135,0.06889831,0.07482058,0.049456313,0.06348673,0.041609306,0.06194069,0.040698644,0.06235357,0.042254016,0.1226084,0.11138315,0.4244903,0.4285659,0.1228632,0.22427613,0.4097799,0.4477311,0.46206054,0.46115103,0.49485397,0.493102,0.49550825,0.49604636,0.3328488,0.091199756,0.45039567,0.45403758,POINT (-89.53477478027344 43.18159484863281)
7,294150.0,4783650.0,9.969209968386869e+36,-89.53466,43.178894,38.38462,34.165936,131.04044,100.69827,30.342173,0.20435485,0.012487812,0.1862869,0.014267686,0.15196952,0.024645891,0.112335525,0.029302206,0.10389256,0.03577373,0.10784741,0.07129867,0.07214889,0.04634609,0.05896396,0.036645416,0.057479624,0.03585297,0.05764936,0.037151597,0.12647533,0.11556066,0.47322938,0.4790008,0.13673249,0.24913034,0.45438883,0.49750033,0.5108852,0.51078576,0.5390362,0.53757864,0.53920627,0.54019684,0.36143392,0.09863251,0.47876847,0.48283616,POINT (-89.53466033935547 43.17889404296875)
8,294150.0,4783350.0,9.969209968386869e+36,-89.534546,43.176197,38.38112,34.150417,131.04108,100.70046,30.340612,0.20365241,0.011485818,0.18617795,0.014161067,0.15090773,0.023280982,0.11131284,0.028077472,0.102823496,0.03450467,0.10547103,0.06845938,0.07046386,0.044392116,0.057383053,0.034916047,0.05575118,0.03398089,0.055674672,0.035014767,0.11975001,0.1082988,0.46357775,0.4690265,0.1347151,0.24557976,0.4477324,0.4900837,0.5041451,0.5039426,0.5322452,0.53074765,0.5325241,0.5334503,0.35674015,0.096671365,0.4693059,0.47323388,POINT (-89.5345458984375 43.17619705200195)
9,294150.0,4783050.0,9.969209968386869e+36,-89.53444,43.173496,38.37935,34.14788,131.03859,100.70081,30.337782,0.20394132,0.011932495,0.18675795,0.015008036,0.1516031,0.024205318,0.11198098,0.028896894,0.10378219,0.035663426,0.105753504,0.068800665,0.07160364,0.045720946,0.05870067,0.036363773,0.05732752,0.035694722,0.057270415,0.03674717,0.121080615,0.1097375,0.4708419,0.47653556,0.13751648,0.2499939,0.45597783,0.49927235,0.5145041,0.5144612,0.5418015,0.5403608,0.54114455,0.54215443,0.36311525,0.097755425,0.47591966,0.47994572,POINT (-89.53443908691406 43.17349624633789)
