datetime,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Air_Temperature_celsius,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerDay,Snowfall_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal
1/1/21 0:00,0,178.4100037,-13.62000122,94.96919992,3.12853001,0,0,99331.74219
1/1/21 1:00,0,178.4100037,-13.7500061,95.54390245,3.0411346,0,0,99264.47656
1/1/21 2:00,0,178.4100037,-13.87000122,96.05066672,2.963190932,0,0,99197.32031
1/1/21 3:00,0,184.3500061,-14.0000061,96.63875497,2.889221311,0,0,99130.0625
1/1/21 4:00,0,184.3500061,-13.85999146,96.67623684,2.492428612,0,0,99129
1/1/21 5:00,0,184.3500061,-13.72000732,96.66465576,2.57328577,0,0,99128.03906
1/1/21 6:00,0,235.4400024,-13.57999268,96.67932417,3.096142806,1.92E-05,0,99127.61719
1/1/21 7:00,0,235.4400024,-12.12000122,96.33990385,3.117194211,0,0,99028.79688
1/1/21 8:00,51.06399918,235.4400024,-10.65,94.95277236,3.195246529,0,0,98930.52344
1/1/21 9:00,159.8240051,277.0899963,-9.190008545,92.85311551,3.335161192,0,0,98832.34375
1/1/21 10:00,242.7839966,277.0899963,-7.220007324,95.03913279,3.468313611,0,0,98718.79688
1/1/21 11:00,309.54599,277.1000061,-5.239996338,94.87472876,3.632093173,0,0,98605.60156
1/1/21 12:00,325.5310059,287.2399902,-3.269995117,93.14375143,3.827962893,0,0,98492.20313
1/1/21 13:00,296.2210083,287.2399902,-2.630010986,92.9238795,3.982486705,0,0,98387.61719
1/1/21 14:00,246.0970001,287.2399902,-1.979986572,92.4687203,4.152023487,9.60E-06,0,98283.67969
1/1/21 15:00,134.2079926,300.0400085,-1.340002441,91.93102661,4.308967454,0.0028416,0,98179.74219
1/1/21 16:00,45.11999893,300.0400085,-1.600012207,92.75005309,4.620497882,0.012336,0,98111.15625
1/1/21 17:00,0,300.0400085,-1.850012207,93.49915621,4.963637915,0.0171744,0,98042.38281
1/1/21 18:00,0,298.9500122,-2.109991455,94.3152558,5.312626416,0.012768,0,97973.29688
1/1/21 19:00,0,298.9500122,-2.299993896,94.21949735,5.287362346,0.0154752,0,98116.28125
1/1/21 20:00,0,298.9500122,-2.489996338,94.10880789,5.350187066,0.0102624,0,98259.35938
1/1/21 21:00,0,244.6499939,-2.679998779,93.9607207,5.501145106,0.0019872,0,98402.34375
1/1/21 22:00,0,244.6499939,-4.350012207,96.35473774,4.927900031,0,0,98323.10156
1/1/21 23:00,0,244.6499939,-6.030004883,97.98648662,4.377327916,0,0,98244.60156
1/2/21 0:00,0,189.8300018,-7.699987793,98.39356532,3.859145036,0,0,98165.46094
1/2/21 1:00,0,189.8300018,-8.750006104,98.9681382,3.69925674,0,0,98209.84375
1/2/21 2:00,0,189.8300018,-9.799993896,98.98414352,3.579455372,0,0,98254.11719
1/2/21 3:00,0,187.4700012,-10.85001221,98.33464976,3.494967916,0,0,98298.5
1/2/21 4:00,0,187.4700012,-10.98999634,97.85690137,2.764434924,0,0,98355.64063
1/2/21 5:00,0,187.4700012,-11.13001099,97.34362669,2.394368336,0,0,98412.78125
1/2/21 6:00,0,187.6300049,-11.26999512,96.81770928,2.520099232,0,0,98469.92188
1/2/21 7:00,0,187.6300049,-10.62000122,95.92367116,2.233226384,0,0,98526.52344
1/2/21 8:00,56.41600037,187.6300049,-9.970007324,94.9214145,2.006913061,0,0,98583.65625
1/2/21 9:00,189.5839996,200.9700012,-9.320013428,93.78246657,1.859946234,0,0,98640.79688
1/2/21 10:00,288.223999,200.9700012,-7.929998779,93.70344324,1.273930905,0,0,98571.24219
1/2/21 11:00,367.7019958,200.9700012,-6.549993896,92.80117233,0.899444295,0,0,98501.28125
1/2/21 12:00,409.1380005,206.8899994,-5.160009766,91.16984097,1.00578326,0,0,98431.85938
1/2/21 13:00,372.6940002,206.8899994,-4.500006104,92.4455053,0.982700339,0,0,98451.47656
1/2/21 14:00,310.1650085,206.8899994,-3.840002441,93.39731205,0.967470908,0,0,98471
1/2/21 15:00,195.1519928,206.3300018,-3.169989014,94.01274173,0.960208289,0,0,98490.52344
1/2/21 16:00,66.99199677,206.3300018,-4.65,93.85574276,1.813973482,0,0,98504.89844
1/2/21 17:00,0,206.3200073,-6.130010986,92.48325022,2.669082325,0,0,98518.97656
1/2/21 18:00,0,205.3399963,-7.609991455,89.58908904,3.514598127,0,0,98532.96094
1/2/21 19:00,0,205.3399963,-7.849951172,90.98554922,2.920838997,0,0,98497.82031
1/2/21 20:00,0,205.3399963,-8.090002441,92.39713248,2.346912781,0,0,98462.03906
1/2/21 21:00,0,219.8999939,-8.329992676,93.84790879,1.799694415,0,0,98426.79688
1/2/21 22:00,0,219.8999939,-8.269995117,93.76740321,1.707512858,0,0,98338.89844
1/2/21 23:00,0,219.8999939,-8.209997559,93.68027095,1.64368487,0,0,98251
1/3/21 0:00,0,236.1499939,-8.160009766,93.66427923,1.634778304,0,0,98163
1/3/21 1:00,0,236.1499939,-8.199987793,93.41222037,1.398463432,0,0,98135.96094
1/3/21 2:00,0,236.1499939,-8.239996338,93.13980328,1.419048984,0,0,98109.5625
1/3/21 3:00,0,227.6900024,-8.280004883,92.88429585,1.697056222,0,0,98083.15625
1/3/21 4:00,0,227.6900024,-8.609991455,92.93067818,1.78016852,0,0,98064.71875
1/3/21 5:00,0,227.6900024,-8.940008545,92.92917247,2.097808409,0,0,98046.38281
1/3/21 6:00,0,193.8600006,-9.280004883,92.92379847,2.564254287,0,0,98028.03906
1/3/21 7:00,0,193.8600006,-8.959997559,93.48674998,2.637972769,0,0,98140
1/3/21 8:00,57.47999954,193.8600006,-8.65,94.06046005,2.7528893,0,0,98251.85938
1/3/21 9:00,198.6239929,194.6000061,-8.340002441,94.54090032,2.885030275,0,0,98363.82031
1/3/21 10:00,302.0960083,194.6000061,-6.989996338,94.63492844,2.960067653,0,0,98248.71875
1/3/21 11:00,385.6170044,194.6000061,-5.639990234,93.85515056,3.105366349,0,0,98134.0625
1/3/21 12:00,424.6300049,200.8800049,-4.299963379,92.47828668,3.311223279,0,0,98018.65625
1/3/21 13:00,387.1929932,200.8800049,-3.840002441,92.10441335,3.396954644,0,0,98033.02344
1/3/21 14:00,322.8179932,200.8800049,-3.380010986,91.64827397,3.481738165,0,0,98047.28125
1/3/21 15:00,202.4640045,196.3800049,-2.929998779,91.21052875,3.560000018,0,0,98061.64063
1/3/21 16:00,70.97599792,196.3699951,-4.769995117,93.94096045,3.636000495,0,0,98093.65625
1/3/21 17:00,0,196.3699951,-6.619970703,95.72920088,3.708382446,0,0,98126.32031
1/3/21 18:00,0,187.4199982,-8.470007324,96.10785105,3.785828773,0,0,98158.14063
1/3/21 19:00,0,187.4199982,-9.199987793,96.70637736,3.736482245,0,0,98177.4375
1/3/21 20:00,0,187.4199982,-9.929968262,97.09073235,3.686570147,0,0,98196.20313
1/3/21 21:00,0,189.0800018,-10.65,97.10879534,3.655707781,0,0,98215.5
1/3/21 22:00,0,189.0800018,-10.81000366,97.2530922,3.630440696,0,0,98178.28125
1/3/21 23:00,0,189.0800018,-10.97000732,97.36998221,3.604511052,0,0,98141.15625
1/4/21 0:00,0,194.3500061,-11.13001099,97.50617098,3.572632116,0,0,98103.84375
1/4/21 1:00,0,194.3500061,-11.10001221,97.64087616,3.529334305,0,0,98023.15625
1/4/21 2:00,0,194.3500061,-11.07001343,97.81530152,3.483676122,0,0,97942.38281
1/4/21 3:00,0,201.3699951,-11.0499939,98.02422183,3.440886458,0,0,97861.70313
1/4/21 4:00,0,201.3699951,-10.88999023,97.72999285,3.439912677,0,0,97908.35938
1/4/21 5:00,0,201.3699951,-10.72000732,97.35261857,3.459393075,0,0,97955.02344
1/4/21 6:00,0,202.1399994,-10.56000366,97.04807227,3.496312352,0,0,98002.32031
1/4/21 7:00,0,202.1399994,-10.32999268,95.3402695,3.667860497,0,0,98036
1/4/21 8:00,55.95199966,202.1399994,-10.09000244,93.61883761,3.839505101,0,0,98069.03906
1/4/21 9:00,194.223999,211.3999939,-9.850012207,91.9055899,4.010498722,0,0,98102.71875
1/4/21 10:00,295.5039978,211.3999939,-8.199987793,93.92618291,3.97543712,0,0,97977.10156
1/4/21 11:00,377.3819885,211.3999939,-6.549993896,94.25616342,3.931437481,0,0,97851.17969
1/4/21 12:00,411.7340088,220.6900024,-4.899969482,93.27653884,3.89843547,0,0,97725.60156
1/4/21 13:00,375.8269958,220.6900024,-3.969946289,93.66680599,4.090880162,0,0,97758.17969
1/4/21 14:00,313.9030151,220.6900024,-3.049993896,93.70989226,4.397419717,0,0,97790.75781
1/4/21 15:00,194.0800018,242.5500031,-2.120001221,93.31185665,4.779728167,0,0,97823.34375
1/4/21 16:00,69.45600128,242.5500031,-2.679998779,93.78473709,4.306738857,0,0,97926.78125
1/4/21 17:00,0,242.5500031,-3.239996338,94.14568,3.966182171,4.80E-06,0,98029.57813
1/4/21 18:00,0,282.3599854,-3.790014648,94.30320946,3.798118013,0.0197568,0,98132.82031
1/4/21 19:00,0,282.3599854,-4.489996338,96.10405545,3.456544463,0,0,98075.79688
1/4/21 20:00,0,282.3599854,-5.179998779,97.78356344,3.192632234,0,0,98018.88281
1/4/21 21:00,0,227.6600037,-5.870001221,99.4086156,3.000149996,0,0,97961.85938
1/4/21 22:00,0,227.6600037,-6.570013428,99.67749421,3.162420055,0,0,97966.52344
1/4/21 23:00,0,227.6600037,-7.269995117,99.71304717,3.353759032,0,0,97970.53906
