component,value,proportion
Comp.1,41.64075988290973,0.946380906429764
Comp.2,1.4785481392959552,0.03360336680218071
Comp.3,0.36402204847315833,0.008273228374389941
Comp.4,0.10616974387040062,0.0024129487243272807
Comp.5,0.06217453155435446,0.0014130575353262342
Comp.6,0.055306685295551515,0.0012569701203534404
Comp.7,0.046906841416875164,0.001066064577656251
Comp.8,0.035614508023516823,8.094206368981075e-4
Comp.9,0.023457252598939497,5.331193772486236e-4
Comp.10,0.021141570129699326,4.80490230220438e-4
Comp.11,0.0180492914498773,4.102111693153921e-4
Comp.12,0.015326919228510906,3.48339073375247e-4
Comp.13,0.014388920695589372,3.270209248997576e-4
Comp.14,0.012242321971146629,2.7823459025333176e-4
Comp.15,0.010500832626194034,2.386552869589547e-4
Comp.16,0.009058699618146966,2.0587953677606689e-4
Comp.17,0.008724361170395465,1.9828093569080552e-4
Comp.18,0.007191225594162907,1.6343694532188383e-4
Comp.19,0.005915357481811434,1.3443994276844134e-4
Comp.20,0.00532033009280699,1.2091659301834037e-4
Comp.21,0.004878463298405097,1.1087416587284283e-4
Comp.22,0.0043454083076312384,9.875927971889153e-5
Comp.23,0.004011514038001904,9.117077359095212e-5
Comp.24,0.0038609986222139154,8.774996868667967e-5
Comp.25,0.0033859628713943913,7.69537016225996e-5
Comp.26,0.003200121785469728,7.273004057885727e-5
Comp.27,0.003101876037858349,7.049718267859866e-5
Comp.28,0.0027763427212049827,6.309869820920399e-5
Comp.29,0.0025570400493947405,5.8114546577153044e-5
Comp.30,0.0024544721740245253,5.578345850055725e-5
Comp.31,0.002250281500827845,5.1142761382450894e-5
Comp.32,0.002094462951524812,4.760143071647288e-5
Comp.33,0.0020706200034336843,4.7059545532583616e-5
Comp.34,0.001970065173842322,4.4774208496416294e-5
Comp.35,0.001950988969151866,4.4340658389815024e-5
Comp.36,0.0018998853311242945,4.317921207100658e-5
Comp.37,0.0018356230782608533,4.171870632411019e-5
Comp.38,0.0017111345950649925,3.888942261511337e-5
Comp.39,0.0016555624247741342,3.762641874486659e-5
Comp.40,0.001562444126663577,3.5510093787808476e-5
Comp.41,0.0015239315461061719,3.463480786604927e-5
Comp.42,0.0014056613672989693,3.194684925679468e-5
Comp.43,0.001389968677890164,3.1590197224776374e-5
Comp.44,0.001287706851743677,2.9266064812356217e-5
