band,name,value
505,comp_1,0.16788801387794433
505,comp_2,0.15632101850512115
505,comp_3,0.024152202501604107
505,comp_4,0.21987259328906267
505,comp_5,0.5089409862215508
505,comp_6,0.1661543846492621
505,comp_7,0.23866439739479087
505,comp_8,0.3463115824153181
505,comp_9,0.2646470673571997
505,comp_10,0.2807938662480624
512,comp_1,0.1846743254514046
512,comp_2,0.15088103071517167
512,comp_3,-0.09440658998760154
512,comp_4,0.24756894069549837
512,comp_5,0.09976458187518131
512,comp_6,-0.14312255790390493
512,comp_7,0.38625689275910496
512,comp_8,0.09220474364353749
512,comp_9,-0.40677987929075476
512,comp_10,0.048749600367027746
520,comp_1,0.17157391900271685
520,comp_2,0.20570009681662343
520,comp_3,-0.024101379921838542
520,comp_4,0.13232067861356278
520,comp_5,-0.1810626686618531
520,comp_6,0.3526135250660979
520,comp_7,0.3752674131983921
520,comp_8,0.09362844221801499
520,comp_9,0.13124826330963907
520,comp_10,-0.46207402096812755
527,comp_1,0.17998541686542485
527,comp_2,0.20632936149045528
527,comp_3,0.002951902835011323
527,comp_4,0.11006803372364028
527,comp_5,0.1285398326172004
527,comp_6,0.36468444378705156
527,comp_7,-0.026890286128704255
527,comp_8,-0.15531750699294242
527,comp_9,-0.3027747165026907
527,comp_10,0.13157897521209821
535,comp_1,0.1727151012595075
535,comp_2,0.2469912728408774
535,comp_3,0.034544006591023135
535,comp_4,4.974170013151018e-4
535,comp_5,0.23216741935962748
535,comp_6,-0.04711074726709988
535,comp_7,0.038867147097122044
535,comp_8,-0.3367367559364286
535,comp_9,-0.05061400411115786
535,comp_10,-0.15299918424880046
543,comp_1,0.1496796301805339
543,comp_2,0.28936146448740235
543,comp_3,0.10837082006529238
543,comp_4,-0.1494390261036187
543,comp_5,-0.12110576381311335
543,comp_6,-0.16444260822569085
543,comp_7,0.22402117220805975
543,comp_8,-0.21252694642056177
543,comp_9,0.1724084120407262
543,comp_10,0.09506715755175768
551,comp_1,0.14441826230649518
551,comp_2,0.2952655857218269
551,comp_3,0.13779624245928773
551,comp_4,-0.2326460417497025
551,comp_5,-0.19480267787600059
551,comp_6,0.13575782266626696
551,comp_7,-0.015059009811776736
551,comp_8,-0.12948338121600667
551,comp_9,-0.015325671898290644
551,comp_10,0.16079751359272063
559,comp_1,0.1538246133224472
559,comp_2,0.27574277836460465
559,comp_3,0.12818147046094305
559,comp_4,-0.23261464921028008
559,comp_5,0.06765398036698039
559,comp_6,0.08503230117719678
559,comp_7,-0.22295098377347528
559,comp_8,-0.1587835206337409
559,comp_9,-0.027272893345470017
559,comp_10,-0.17670935860840253
567,comp_1,0.16951972864156573
567,comp_2,0.2304718082691712
567,comp_3,0.1256009050198437
567,comp_4,-0.2169026941227881
567,comp_5,0.14911615213200774
567,comp_6,-0.21555203440243453
567,comp_7,-0.05952100702856858
567,comp_8,0.07329463304273823
567,comp_9,0.21388650224183842
567,comp_10,0.10386544083840078
575,comp_1,0.18233783959742894
575,comp_2,0.191777876741276
575,comp_3,0.12589068020507876
575,comp_4,-0.17379449637823402
575,comp_5,-0.18715256096878366
575,comp_6,-0.2125383560465233
575,comp_7,-0.019812963144750236
575,comp_8,0.15458508655636233
575,comp_9,-0.11565438414834542
575,comp_10,0.12464821457909708
584,comp_1,0.19745257902056182
584,comp_2,0.1237469409492789
584,comp_3,0.13232416781632705
584,comp_4,-0.03523764434990641
584,comp_5,-0.17149416968256942
584,comp_6,0.07346286188482655
584,comp_7,-0.24012055133410784
584,comp_8,0.15844166889799344
584,comp_9,0.19428572061094146
584,comp_10,-0.06190545746141998
592,comp_1,0.12083457327253426
592,comp_2,-0.06706412643317862
592,comp_3,0.41949298239665334
592,comp_4,-0.07543302065695535
592,comp_5,0.10787262101342891
592,comp_6,-0.06435199817506068
592,comp_7,-0.11761421645756562
592,comp_8,0.289940506622863
592,comp_9,-0.2953871833656595
592,comp_10,-0.00317783136293785
601,comp_1,0.20169370152455016
601,comp_2,-0.05925635175885564
601,comp_3,0.1405500291943005
601,comp_4,0.06260232554193948
601,comp_5,-0.004468428274871251
601,comp_6,-0.2852660507050371
601,comp_7,-0.05624125885692661
601,comp_8,0.19444221864622738
601,comp_9,-0.10009607452915772
601,comp_10,-0.35391803282365814
610,comp_1,0.21281769648925847
610,comp_2,-0.03789221233100093
610,comp_3,0.004012780966387902
610,comp_4,0.08583129278082854
610,comp_5,-0.2101225377446195
610,comp_6,-0.056733248158281534
610,comp_7,-0.05375025121431755
610,comp_8,0.24654706505971064
610,comp_9,0.012941764325855063
610,comp_10,0.033283264067218245
619,comp_1,0.211897825316602
619,comp_2,-0.052399554921516364
619,comp_3,-0.030226327245724702
619,comp_4,0.11727215220400194
619,comp_5,-0.056280022116192964
619,comp_6,0.13254858968657948
619,comp_7,-0.25565943821568615
619,comp_8,0.1359297993186679
619,comp_9,-0.07742021591099713
619,comp_10,0.17401560858289147
628,comp_1,0.21065366441522498
628,comp_2,-0.07033235885520871
628,comp_3,-0.018877166268634372
628,comp_4,0.1464410252951808
628,comp_5,0.10817458300251918
628,comp_6,-0.10633559622635043
628,comp_7,-0.18381325745034022
628,comp_8,0.023331407408574267
628,comp_9,-0.014748379268588449
628,comp_10,-0.1565919243466446
637,comp_1,0.2114090912232698
637,comp_2,-0.07573506455764052
