,x,y,transverse_mercator,lon,lat,sza,vza,saa,vaa,raa,rhot_401,rhos_401,rhot_412,rhos_412,rhot_443,rhos_443,rhot_490,rhos_490,rhot_510,rhos_510,rhot_560,rhos_560,rhot_620,rhos_620,rhot_665,rhos_665,rhot_674,rhos_674,rhot_681,rhos_681,rhot_709,rhos_709,rhot_754,rhos_754,rhot_762,rhot_765,rhot_768,rhos_768,rhot_779,rhos_779,rhot_865,rhos_865,rhot_884,rhos_884,rhot_899,rhot_939,rhot_1016,rhos_1016,geometry
0,294150.0,4785750.0,9.969209968386869e+36,-89.535446,43.197784,71.18048,31.96777,153.47375,101.18233,52.29143,0.3285849,0.11370939,0.312945,0.117787585,0.2810311,0.13436945,0.24242677,0.14997612,0.22924404,0.15840356,0.20398982,0.17899816,0.20013611,0.19526464,0.2210875,0.21154542,0.2252765,0.21429163,0.22851902,0.2184776,0.26046136,0.2649612,0.32248688,0.32216242,0.06548766,0.14179167,0.29140264,0.32828322,0.33204147,0.33015954,0.3663727,0.36563334,0.37039572,0.37307554,0.29868877,0.15849495,0.3680206,0.3764588,POINT (-89.53544616699219 43.197784423828125)
1,294150.0,4785450.0,9.969209968386869e+36,-89.53533,43.195087,71.17822,31.966553,153.47311,101.18244,52.290672,0.33284453,0.12141824,0.31649053,0.1238635,0.28444785,0.13955648,0.24458326,0.15291989,0.22944093,0.15867639,0.20220463,0.17658035,0.19695368,0.19116442,0.2164286,0.20611031,0.22039604,0.20869857,0.22283429,0.21200143,0.25528365,0.25900525,0.31699806,0.31623876,0.0647033,0.13948116,0.28769574,0.32380292,0.32698566,0.32478866,0.35909122,0.3580789,0.3635552,0.36594012,0.29329365,0.1550672,0.35482302,0.36267287,POINT (-89.53533172607422 43.19508743286133)
2,294150.0,4785150.0,9.969209968386869e+36,-89.53522,43.192387,71.17523,31.95711,153.4739,101.18372,52.29018,0.32694948,0.11084978,0.310099,0.1130035,0.2766711,0.12782136,0.23596355,0.14121273,0.21976551,0.14568947,0.19155791,0.1621259,0.188018,0.17964298,0.20896292,0.19739951,0.2132946,0.20055977,0.21634096,0.20460461,0.24163498,0.24329425,0.28821856,0.28514382,0.060174946,0.12904112,0.26264882,0.29349914,0.29874653,0.29476047,0.3326941,0.33067438,0.33848745,0.3397767,0.27406225,0.14650567,0.34118468,0.34842166,POINT (-89.53521728515625 43.192386627197266)
3,294150.0,4784850.0,9.969209968386869e+36,-89.53511,43.18969,71.17324,31.958832,153.47276,101.18344,52.289326,0.3070263,0.07445705,0.28767952,0.07424014,0.25185367,0.08987637,0.20749843,0.10219161,0.19187462,0.107960016,0.1637934,0.12422239,0.1630322,0.14731303,0.1861676,0.17073415,0.19013545,0.17395186,0.19427308,0.17940664,0.20987433,0.20664912,0.24159296,0.23463303,0.051423997,0.108621,0.22118694,0.2432108,0.25307935,0.24608752,0.29334396,0.28976262,0.3021286,0.30177885,0.24665156,0.13259652,0.32504457,0.331548,POINT (-89.53511047363281 43.18968963623047)
4,294150.0,4784550.0,9.969209968386869e+36,-89.534996,43.18699,71.17075,31.955053,153.47258,101.18392,52.28865,0.29926983,0.060154077,0.279702,0.060320478,0.24201144,0.07471132,0.19765228,0.088619985,0.18159238,0.093984015,0.15332678,0.10988158,0.15268548,0.1338952,0.17573397,0.15851147,0.18009149,0.16239671,0.18378375,0.16741425,0.1969388,0.1916983,0.22434217,0.21590696,0.047834687,0.10090191,0.20525473,0.22384962,0.23584063,0.22768155,0.27796674,0.27375767,0.2866738,0.28561133,0.23438892,0.12712908,0.314511,0.3205318,POINT (-89.53499603271484 43.186988830566406)
5,294150.0,4784250.0,9.969209968386869e+36,-89.53488,43.18429,71.16844,31.953161,153.47206,101.18414,52.287914,0.30051002,0.062482964,0.28126872,0.06309457,0.24533731,0.079874374,0.2012724,0.09363543,0.18596531,0.09995111,0.157423,0.11550959,0.1559844,0.13818233,0.17748737,0.16057056,0.18186185,0.16443814,0.18564092,0.16954206,0.20051199,0.195833,0.22989169,0.22193566,0.047957666,0.10230314,0.20969133,0.22924519,0.24077472,0.23295341,0.28167245,0.27761632,0.28812385,0.2871291,0.2353615,0.12760936,0.31469935,0.32072866,POINT (-89.53488159179688 43.18429183959961)
6,294150.0,4783950.0,9.969209968386869e+36,-89.534775,43.181595,71.16578,31.947407,153.4722,101.1849,52.287304,0.30561954,0.07198825,0.28667986,0.07260938,0.25167692,0.08968859,0.20999053,0.10567914,0.19515343,0.112458915,0.16761217,0.12948073,0.16560718,0.15066989,0.18668048,0.17134857,0.19089869,0.17484266,0.1945816,0.17977142,0.2118186,0.2089048,0.24610011,0.23952918,0.050875217,0.10905707,0.22301015,0.24543114,0.25531673,0.24848063,0.28899714,0.28524178,0.29543796,0.2947827,0.23920281,0.12839907,0.3120694,0.3179779,POINT (-89.53477478027344 43.18159484863281)
7,294150.0,4783650.0,9.969209968386869e+36,-89.53466,43.178894,71.163086,31.941273,153.47243,101.18572,52.2867,0.3055335,0.07188791,0.2866904,0.07268027,0.25115985,0.08893104,0.20861079,0.10380449,0.19421068,0.11120029,0.17050906,0.1334569,0.16243015,0.14656062,0.17744432,0.16053258,0.18064226,0.16304575,0.18408523,0.16777325,0.22252944,0.22127609,0.29622653,0.2938108,0.06057785,0.12966773,0.2675011,0.29938146,0.30738115,0.30395457,0.3431273,0.34151235,0.3500882,0.35189,0.28247696,0.15082918,0.35546547,0.3633435,POINT (-89.53466033935547 43.17889404296875)
8,294150.0,4783350.0,9.969209968386869e+36,-89.534546,43.176197,71.16016,31.932545,153.47308,101.1869,52.28619,0.30542532,0.071765326,0.287788,0.07466364,0.25165993,0.08975125,0.20839809,0.103544064,0.1941772,0.11118202,0.17153816,0.13488162,0.1611775,0.1449478,0.17358148,0.15601148,0.17653464,0.1583232,0.17969285,0.16275384,0.22779214,0.22735377,0.31438223,0.31342873,0.06463348,0.13915947,0.2858783,0.32161805,0.3263935,0.3241708,0.36310306,0.3622462,0.37052384,0.37321255,0.29932436,0.15982635,0.37178665,0.38039052,POINT (-89.5345458984375 43.17619705200195)
9,294150.0,4783050.0,9.969209968386869e+36,-89.53444,43.173496,71.15775,31.929693,153.47273,101.187256,52.285484,0.30644247,0.07367596,0.28934863,0.07741447,0.25322452,0.0921823,0.21090253,0.10700724,0.19679274,0.11474426,0.17261265,0.13635887,0.1641521,0.1488096,0.17802069,0.16122048,0.18088761,0.16333976,0.18389988,0.16757207,0.22503887,0.22417994,0.29806826,0.29580665,0.061671115,0.13224559,0.27069166,0.30324814,0.30911386,0.30580175,0.3438539,0.34226874,0.34982947,0.3516215,0.28298026,0.15132856,0.3543894,0.36221942,POINT (-89.53443908691406 43.17349624633789)
